# Time [sec]	CtrlParams2.Idq_ref_A.value[1]	CtrlParams2.Idq_in_A.value[1]	CtrlParams2.Vdq_out_V.value[1]	CtrlParams2.VqErrInt	CtrlParams2.SpeedFed_Hz	gEscParams2.InPWMCtrl.CanReciWidthus
175.141	-473.85	-1.9466	-1.9466	-1.9466	-1.9466	-1.9466
175.157	-1.9466	-1.9466	-1.9466	-1.9466	-458.196	-458.196
175.172	-458.196	-1.7709	-1.7709	0.66572	0.66572	0.66572
175.188	-2.17579	-1.60643	-1.60643	-1.60643	-459.927	1300
175.204	1300	1300	1300	1300	1300	1300
175.219	-1.5604	-1.8268	-1.75274	0.675332	-461.777	1300
175.235	1300	1300	1300	0.67375	0.67375	0.67375
175.25	0.67375	0.67375	0.67375	0.67375	1.17549e-038	1.17549e-038
175.266	-1.91974	-2.15299	-2.15299	-2.15299	-2.15299	-2.15299
175.282	-1.97976	-2.25703	-2.25703	0.669971	-484.037	-484.037
175.297	-484.037	-484.037	-484.037	-484.037	-447.558	1300
175.313	-2.3247	-2.3247	-2.3247	-2.3247	-2.3247	-2.3247
175.329	-2.3247	-1.84458	-1.84458	0.662728	0.662728	0.662728
175.344	-1.39696	-1.39696	-1.75288	-1.75288	-1.75288	-1.75288
175.36	-1.75288	-1.75288	-1.75288	0.665656	-481.619	1300
175.375	1300	-2.09015	-2.09015	0.675791	-460.711	-460.711
175.391	-2.34312	-2.34312	-2.34312	-2.34312	-452.948	1300
175.407	1300	1300	-1.75436	-1.75436	-1.75436	-1.75436
175.422	-1.46928	-1.46928	-1.46928	-1.46928	-1.46928	-1.46928
175.438	-2.24835	-2.24835	-2.24835	-2.24835	-2.24835	1300
175.454	1300	1300	1300	1300	1300	1300
175.469	-2.28882	-2.28882	-2.28882	0.669044	0.669044	0.669044
175.485	0.669044	0.669044	0.669044	0.669044	-487.668	1300
175.5	1300	1300	-1.70477	0.673996	-489.001	-489.001
175.516	-489.001	-489.001	-1.72459	-1.72459	-1.72459	-1.72459
175.532	-1.72459	-1.72459	-1.72459	-1.72459	-461.086	-461.086
175.547	-1.21019	-2.07938	-2.07938	-2.07938	-466.408	1300
175.563	1300	1300	-1.73119	0.673455	0.673455	0.673455
175.579	0.673455	0.673455	0.673455	0.673455	0.673455	0.673455
175.594	-1.69578	-1.69578	-1.74524	0.679661	-448.661	-448.661
175.61	-448.661	-2.22607	-1.69648	-1.69648	-488.078	-488.078
175.625	-1.84585	-1.84585	-1.75479	-1.75479	-447.2	1300
175.641	1300	1300	1300	1300	1300	1300
175.657	1300	1300	-1.69013	-1.69013	-483.527	1300
175.672	1300	1300	1300	1300	1300	1300
175.688	1300	1300	1300	1300	-480.009	-480.009
175.704	-1.63556	-1.72181	-1.72181	-1.72181	-1.72181	-1.72181
175.719	-1.72181	-1.72181	-1.72181	0.670675	0.670675	0.670675
175.735	0.670675	0.670675	-1.68872	0.66968	0.66968	0.66968
175.75	0.66968	0.66968	0.66968	0.66968	0.66968	0.66968
175.766	0.66968	-1.6458	-1.73594	-1.73594	-1.73594	1300
175.782	1300	1300	1300	1300	-481.02	1300
175.797	1300	1300	1300	1300	1300	1300
175.813	1300	-2.16849	-1.69191	0.66781	0.66781	0.66781
175.829	-1.1845	-1.1845	-1.75153	-1.75153	-442.306	-442.306
175.844	-442.306	-442.306	-442.306	-442.306	-479.49	-479.49
175.86	-479.49	-1.89898	-1.89898	0.680502	0.680502	0.680502
175.875	0.680502	0.680502	-1.68952	-1.68952	-1.68952	-1.68952
175.891	-1.68952	-1.97327	-1.74294	0.677416	0.677416	0.677416
175.907	0.677416	-1.67963	-1.67963	0.666582	0.666582	0.666582
175.922	0.666582	0.666582	0.666582	0.666582	-459.009	-459.009
175.938	-459.009	-459.009	-459.009	-459.009	-459.009	1300
175.954	1300	-2.12603	-2.12603	-2.12603	-475.598	-475.598
175.969	-475.598	-475.598	-475.598	-475.598	-475.598	1300
175.985	1300	1300	1300	0.671027	0.671027	0.671027
176	-2.16563	-2.16563	-2.16563	0.683068	0.683068	0.683068
176.016	0.683068	0.683068	0.683068	0.683068	-455.768	-455.768
176.032	-455.768	-455.768	-455.768	0.670104	0.670104	0.670104
176.047	0	0	-1.69956	-1.69956	-1.69956	1300
176.063	500	500	-1.74113	0.678971	0.678971	1300
176.079	-2.24439	-2.24439	-1.69266	3.58357e+019	-1.69266	-1.69266
176.094	-1.24888	-1.24888	-1.7492	-1.7492	-1.7492	1300
176.11	-2.29321	-2.29321	-2.29321	-2.29321	-474.233	-474.233
176.125	-2.18203	-2.18203	-2.18203	-2.18203	-2.18203	1300
176.141	-1.17697	-1.8854	-1.8854	-1.8854	-1.8854	-1.8854
176.157	-1.33291	-1.33291	-1.33291	-1.33291	-1.33291	-1.33291
176.172	-2.06081	-2.06081	-2.06081	-2.06081	-2.06081	-2.06081
176.188	-2.06081	-1.60934	-1.60934	-1.60934	-1.60934	-1.60934
176.204	-1.60934	-1.60934	-1.7095	-1.7095	-1.7095	1300
176.219	1300	1300	1300	1300	1300	1300
176.235	-1.20399	-1.20399	-1.73378	-1.73378	-1.73378	-1.73378
176.25	-1.73378	-1.73378	-1.73378	-1.73378	-1.73378	1300
176.266	1300	1300	1300	0.685066	0.685066	0.685066
176.282	-1.37114	-1.53714	-1.75619	0.677351	-441.62	-441.62
