I0,I1,I2,I3,I4
-0.042550,0.915847,-0.128314,-0.009801,-0.506231
-0.042550,0.915847,-0.128314,0.085101,-0.262328
-0.042550,0.915847,-0.128314,-0.066946,-0.018426
-0.042550,0.915847,-0.128314,0.063753,0.042550
-0.042550,0.915847,-0.128314,-0.117882,0.042550
-0.042550,0.915847,-0.128314,0.106285,0.286452
-0.042550,0.915847,-0.128314,-0.060553,0.042550
-0.042550,0.915847,-0.128314,0.106285,0.408404
-0.042547,0.915868,-0.128369,0.056544,0.652303
-0.042547,0.915868,-0.128369,-0.007940,0.987669
-0.042547,0.915868,-0.128369,0.042320,0.255962
-0.042547,0.915868,-0.128369,-0.029486,-0.231843
-0.042547,0.915868,-0.128369,0.113245,-0.872088
-0.042547,0.915868,-0.128369,-0.072663,-0.628185
-0.042547,0.915868,-0.128369,-0.029035,-0.384283
-0.042547,0.915868,-0.128369,-0.037009,0.225474
-0.042547,0.915868,-0.128369,-0.052954,0.286449
